recorded_date,line_name,shift_name,recorded_hour,day_of_week,week_of_year,is_weekend,line_encoded,total_output,total_pass,total_reject,pass_rate,downtime_rate,availability,performance,quality,downtime_count,efficiency
2026-02-01,line a,shift 1,6,6,5,1,0,850.0,4.0,0.0,0.004705882352941176,0.0,0.9714869318181818,0.7811892045454545,0.9603221590909092,0,0.6635
2026-02-01,line a,shift 2,14,6,5,1,0,894.0,5.0,0.0,0.005592841163310962,0.0,0.9732103448275864,0.7720936781609196,0.9673367816091952,0,0.6249
2026-02-02,line a,shift 3,22,0,6,0,0,1050.0,4.0,0.0,0.0038095238095238095,0.0,0.9726114285714286,0.7704497142857143,0.9543937142857144,0,0.412
2026-02-01,line a,shift 1,6,6,5,1,0,700.0,5.0,0.0,0.007142857142857143,0.0,0.9579948863636364,0.6420017045454546,0.9496204545454544,0,0.8529
2026-02-01,line a,shift 2,14,6,5,1,0,925.0,2.0,0.0,0.002162162162162162,0.0,0.9595845714285716,0.6536731428571428,0.9767611428571428,0,0.4722
2026-02-02,line a,shift 3,22,0,6,0,0,680.0,4.0,0.0,0.0058823529411764705,0.0,0.960858757062147,0.6334305084745763,0.9482943502824858,0,0.5072
2026-02-01,line a,shift 1,6,6,5,1,0,992.0,4.0,0.0,0.004032258064516129,0.0,0.9711568965517242,0.7715344827586208,0.9542132183908044,0,0.7082
2026-02-01,line a,shift 2,14,6,5,1,0,907.0,4.0,0.0,0.004410143329658214,0.0,0.9698011363636364,0.75509375,0.9680863636363636,0,0.6667
2026-02-02,line a,shift 3,22,0,6,0,0,915.0,3.0,0.0,0.003278688524590164,0.06093750149011612,0.9699949438202248,0.7404140449438202,0.9610904494382022,1,0.9391
2026-02-01,line b,shift 1,6,6,5,1,1,977.0,4.0,0.0,0.0040941658137154556,0.0,0.9694767045454546,0.7222562499999999,0.9522732954545454,0,0.9658
2026-02-01,line b,shift 2,14,6,5,1,1,768.0,3.0,0.0,0.00390625,0.0,0.970316384180791,0.7160909604519774,0.958379661016949,0,0.5387
2026-02-02,line b,shift 3,22,0,6,0,1,586.0,5.0,0.0,0.008532423208191127,0.0,0.9707780898876404,0.6486887640449438,0.9695876404494382,0,0.2404
2026-02-01,line b,shift 1,6,6,5,1,1,602.0,4.0,0.0,0.006644518272425249,0.0,0.9605514124293784,0.6269536723163842,0.9538604519774012,0,0.4028
2026-02-01,line b,shift 2,14,6,5,1,1,645.0,4.0,0.0,0.006201550387596899,0.0,0.961474431818182,0.6564625000000001,0.9428977272727272,0,0.2152
2026-02-02,line b,shift 3,22,0,6,0,1,688.0,8.0,0.0,0.011627906976744186,0.10709635447710752,0.9596569832402236,0.6435245810055866,0.9638513966480448,2,0.3569
2026-02-01,line b,shift 1,6,6,5,1,1,932.0,3.0,0.0,0.003218884120171674,0.0,0.965764,0.7633297142857142,0.9598091428571428,0,0.4194
2026-02-01,line b,shift 2,14,6,5,1,1,1006.0,5.0,0.0,0.004970178926441352,0.0,0.961093220338983,0.7580553672316385,0.9796604519774011,0,0.3766
2026-02-02,line b,shift 3,22,0,6,0,1,1013.0,1.0,0.0,0.0009871668311944718,0.0,0.95955530726257,0.7858726256983241,0.97316312849162,0,1.0
2026-02-01,line c,shift 2,14,6,5,1,2,940.0,5.0,0.0,0.005319148936170213,0.10709635447710752,0.9675180790960451,0.7758463276836158,0.9586621468926554,1,0.8559
2026-02-02,line c,shift 3,22,0,6,0,2,1050.0,3.0,0.0,0.002857142857142857,0.0,0.9660954545454546,0.7738732954545454,0.9695846590909092,0,0.3332
2026-02-01,line c,shift 1,6,6,5,1,2,785.0,6.0,0.0,0.007643312101910828,0.0,0.9734926553672316,0.6269056497175142,0.955367231638418,0,0.7414
2026-02-01,line c,shift 2,14,6,5,1,2,695.0,5.0,0.0,0.007194244604316547,0.0,0.9717162921348316,0.6548410112359551,0.9551494382022472,0,0.6364
2026-02-01,line c,shift 1,6,6,5,1,2,1050.0,3.0,0.0,0.002857142857142857,0.10709635447710752,0.9558448863636364,0.7807528409090909,0.977555681818182,1,0.8405
2026-02-01,line c,shift 2,14,6,5,1,2,941.0,3.0,0.0,0.003188097768331562,0.10709635447710752,0.959408,0.7887599999999999,0.9514285714285714,1,0.3676
2026-02-02,line c,shift 3,22,0,6,0,2,978.0,4.0,0.0,0.00408997955010225,0.0,0.9592327485380115,0.7542111111111112,0.97113216374269,0,0.3148
2026-02-01,line d,shift 1,6,6,5,1,3,641.0,6.0,0.0,0.0093603744149766,0.0,0.97625197740113,0.6071683615819209,0.9534841807909604,0,0.7
2026-02-02,line d,shift 3,22,0,6,0,3,765.0,7.0,0.0,0.009150326797385621,0.0,0.9761469273743016,0.5908648044692737,0.9510592178770948,0,0.6858
2026-02-01,line d,shift 1,6,6,5,1,3,902.0,4.0,0.0,0.004434589800443459,0.0,0.9577932203389832,0.7727412429378532,0.9548954802259888,0,0.4613
2026-02-01,line d,shift 2,14,6,5,1,3,913.0,2.0,0.0,0.002190580503833516,0.0,0.9601118644067796,0.7691152542372881,0.9529186440677966,0,0.8112
2026-02-02,line d,shift 3,22,0,6,0,3,979.0,4.0,0.0,0.0040858018386108275,0.03548610955476761,0.9582296511627908,0.8025308139534885,0.9455558139534884,1,0.8788
2026-02-01,line d,shift 1,6,6,5,1,3,1050.0,6.0,0.0,0.005714285714285714,0.0,0.970548275862069,0.7340936781609195,0.969635632183908,0,1.0
2026-02-02,line d,shift 3,22,0,6,0,3,1010.0,3.0,0.0,0.0029702970297029703,0.0,0.9663485875706216,0.7424570621468926,0.9622666666666668,0,0.9367
2026-02-02,line a,shift 1,6,0,6,0,0,1038.0,3.0,0.0,0.002890173410404624,0.0,0.9714869318181818,0.7811892045454545,0.9603221590909092,0,1.0
2026-02-02,line a,shift 2,14,0,6,0,0,1050.0,2.0,0.0,0.0019047619047619048,0.0,0.9732103448275864,0.7720936781609196,0.9673367816091952,0,1.0
2026-02-03,line a,shift 3,22,1,6,0,0,1050.0,2.0,0.0,0.0019047619047619048,0.0,0.9726114285714286,0.7704497142857143,0.9543937142857144,0,0.4686
2026-02-02,line a,shift 1,6,0,6,0,0,793.0,5.0,0.0,0.006305170239596469,0.0,0.9579948863636364,0.6420017045454546,0.9496204545454544,0,0.7726
2026-02-02,line a,shift 2,14,0,6,0,0,820.0,6.0,0.0,0.007317073170731708,0.0,0.9595845714285716,0.6536731428571428,0.9767611428571428,0,0.3172
2026-02-03,line a,shift 3,22,1,6,0,0,591.0,2.0,0.0,0.00338409475465313,0.037881944328546524,0.960858757062147,0.6334305084745763,0.9482943502824858,1,0.2331
2026-02-02,line a,shift 1,6,0,6,0,0,950.0,3.0,0.0,0.003157894736842105,0.10288194566965103,0.9711568965517242,0.7715344827586208,0.9542132183908044,1,0.6119
2026-02-02,line a,shift 2,14,0,6,0,0,777.0,2.0,0.0,0.002574002574002574,0.08145833015441895,0.9698011363636364,0.75509375,0.9680863636363636,1,0.9073
2026-02-03,line a,shift 3,22,1,6,0,0,952.0,3.0,0.0,0.0031512605042016808,0.0,0.9699949438202248,0.7404140449438202,0.9610904494382022,0,0.6231
2026-02-02,line b,shift 1,6,0,6,0,1,711.0,2.0,0.0,0.0028129395218002813,0.0,0.9694767045454546,0.7222562499999999,0.9522732954545454,0,0.9221
2026-02-02,line b,shift 2,14,0,6,0,1,832.0,2.0,0.0,0.002403846153846154,0.0,0.970316384180791,0.7160909604519774,0.958379661016949,0,0.4536
2026-02-03,line b,shift 3,22,1,6,0,1,943.0,1.0,0.0,0.0010604453870625664,0.0,0.9707780898876404,0.6486887640449438,0.9695876404494382,0,1.0
2026-02-02,line b,shift 1,6,0,6,0,1,756.0,2.0,0.0,0.0026455026455026454,0.10709635447710752,0.9605514124293784,0.6269536723163842,0.9538604519774012,2,0.4809
2026-02-02,line b,shift 2,14,0,6,0,1,741.0,5.0,0.0,0.006747638326585695,0.10709635447710752,0.961474431818182,0.6564625000000001,0.9428977272727272,2,0.2108
2026-02-03,line b,shift 3,22,1,6,0,1,890.0,2.0,0.0,0.0022471910112359553,0.0,0.9596569832402236,0.6435245810055866,0.9638513966480448,0,0.9725
2026-02-02,line b,shift 1,6,0,6,0,1,1050.0,3.0,0.0,0.002857142857142857,0.0,0.965764,0.7633297142857142,0.9598091428571428,0,0.708
2026-02-02,line b,shift 2,14,0,6,0,1,1050.0,2.0,0.0,0.0019047619047619048,0.0,0.961093220338983,0.7580553672316385,0.9796604519774011,0,0.4488
2026-02-03,line b,shift 3,22,1,6,0,1,904.0,3.0,0.0,0.00331858407079646,0.04156250134110451,0.95955530726257,0.7858726256983241,0.97316312849162,1,0.9584
2026-02-02,line c,shift 1,6,0,6,0,2,921.0,6.0,0.0,0.006514657980456026,0.0,0.9684011363636364,0.7713215909090909,0.9683693181818182,0,1.0
2026-02-02,line c,shift 2,14,0,6,0,2,1050.0,4.0,0.0,0.0038095238095238095,0.0,0.9675180790960451,0.7758463276836158,0.9586621468926554,0,0.8746
2026-02-03,line c,shift 3,22,1,6,0,2,931.0,1.0,0.0,0.0010741138560687433,0.0,0.9660954545454546,0.7738732954545454,0.9695846590909092,0,0.9769
2026-02-02,line c,shift 1,6,0,6,0,2,866.0,2.0,0.0,0.0023094688221709007,0.10709635447710752,0.9734926553672316,0.6269056497175142,0.955367231638418,1,0.8126
2026-02-02,line c,shift 2,14,0,6,0,2,794.0,6.0,0.0,0.007556675062972292,0.10709635447710752,0.9717162921348316,0.6548410112359551,0.9551494382022472,1,0.3347
2026-02-03,line c,shift 3,22,1,6,0,2,771.0,3.0,0.0,0.0038910505836575876,0.08215277642011642,0.9691514450867053,0.6074329479768786,0.9537063583815028,1,0.4915
2026-02-02,line c,shift 1,6,0,6,0,2,1043.0,3.0,0.0,0.0028763183125599234,0.0,0.9558448863636364,0.7807528409090909,0.977555681818182,0,0.4799
2026-02-02,line c,shift 2,14,0,6,0,2,1033.0,2.0,0.0,0.001936108422071636,0.0,0.959408,0.7887599999999999,0.9514285714285714,0,1.0
2026-02-03,line c,shift 3,22,1,6,0,2,1049.0,3.0,0.0,0.002859866539561487,0.0,0.9592327485380115,0.7542111111111112,0.97113216374269,0,1.0
2026-02-02,line d,shift 1,6,0,6,0,3,745.0,2.0,0.0,0.0026845637583892616,0.0,0.97625197740113,0.6071683615819209,0.9534841807909604,0,0.2644
2026-02-02,line d,shift 2,14,0,6,0,3,737.0,5.0,0.0,0.0067842605156037995,0.0,0.9750948863636364,0.5983465909090909,0.9623090909090908,0,0.7833
2026-02-03,line d,shift 3,22,1,6,0,3,795.0,5.0,0.0,0.006289308176100629,0.0,0.9761469273743016,0.5908648044692737,0.9510592178770948,0,0.7628
2026-02-02,line d,shift 1,6,0,6,0,3,814.0,3.0,0.0,0.0036855036855036856,0.06444444507360458,0.9577932203389832,0.7727412429378532,0.9548954802259888,1,0.8731
2026-02-02,line d,shift 2,14,0,6,0,3,928.0,2.0,0.0,0.0021551724137931034,0.042326390743255615,0.9601118644067796,0.7691152542372881,0.9529186440677966,1,0.9577
2026-02-03,line d,shift 3,22,1,6,0,3,989.0,4.0,0.0,0.004044489383215369,0.0,0.9582296511627908,0.8025308139534885,0.9455558139534884,0,0.3671
2026-02-02,line d,shift 1,6,0,6,0,3,898.0,3.0,0.0,0.0033407572383073497,0.0,0.970548275862069,0.7340936781609195,0.969635632183908,0,1.0
2026-02-02,line d,shift 2,14,0,6,0,3,769.0,4.0,0.0,0.005201560468140442,0.0,0.9679265536723164,0.677564406779661,0.9646892655367232,0,0.4095
