record_id,timestamp,record_date,machine_id,machine_name,line_id,line_name,line_process_id,shift_id,total_output,avg_cycle_time_sec,throughput_units_per_hour,shift_total_pass,operating_seconds,oee,availability,performance,quality,total_produced,total_pass,total_reject,defect_rate,cum_running_hours,days_since_last_maintenance,corrective_wo_last_7d,preventive_wo_last_30d,hours_to_next_failure_event,failure_next_24h,maintenance_risk_level
471b5391-8fdf-453f-96a6-4a2a09ae3127,2026-02-01 11:39:00,2026-02-01,081f1278-fb94-44c6-a64f-edfe6a0596ca,Vision Inspection 01,0a4d2182-cf07-4dc3-b494-5cc84d4e97d9,Line A,fa41b074-82b3-4146-b745-ba968159798b,4a28e93f-183c-4b5f-9e90-703d80626680,850,24.87,106.25,4,28800,0.6635,1.0,0.6635,1.0,4.0,4.0,0.0,0.0,92.19,,0,0,148.93,No,No Risk
4380fd75-f067-44d2-b7bf-8e0ba3b8258f,2026-02-01 18:21:00,2026-02-01,081f1278-fb94-44c6-a64f-edfe6a0596ca,Vision Inspection 01,0a4d2182-cf07-4dc3-b494-5cc84d4e97d9,Line A,fa41b074-82b3-4146-b745-ba968159798b,15b09269-ea40-4cc7-aeca-d0c85b53e3da,894,20.34,111.75,5,28800,0.6249,1.0,0.6249,1.0,5.0,5.0,0.0,0.0,92.19,,0,0,142.23,No,No Risk
a81b99bc-f019-4879-a8be-aeefccbfa7fd,2026-02-02 13:28:00,2026-02-02,081f1278-fb94-44c6-a64f-edfe6a0596ca,Vision Inspection 01,0a4d2182-cf07-4dc3-b494-5cc84d4e97d9,Line A,fa41b074-82b3-4146-b745-ba968159798b,4a28e93f-183c-4b5f-9e90-703d80626680,1038,29.71,129.75,3,28800,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,92.19,,0,0,123.11,No,No Risk
b59b2286-c41b-4c8c-9f22-2e41b4a2edc9,2026-02-02 15:12:00,2026-02-02,081f1278-fb94-44c6-a64f-edfe6a0596ca,Vision Inspection 01,0a4d2182-cf07-4dc3-b494-5cc84d4e97d9,Line A,fa41b074-82b3-4146-b745-ba968159798b,15b09269-ea40-4cc7-aeca-d0c85b53e3da,1050,44.78,131.25,2,28800,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,92.19,,0,0,121.38,No,No Risk
90dc9589-9d04-4dbf-bed2-39ac6453f380,2026-02-03 05:42:00,2026-02-03,081f1278-fb94-44c6-a64f-edfe6a0596ca,Vision Inspection 01,0a4d2182-cf07-4dc3-b494-5cc84d4e97d9,Line A,fa41b074-82b3-4146-b745-ba968159798b,b1b71e03-f8a2-456d-b6a6-389839d0bdd4,1050,11.79,131.25,4,28800,0.412,1.0,0.412,1.0,3.0,2.0,1.0,0.3333,92.19,,0,0,106.88,No,No Risk
e44d3e31-41d9-4b58-bd1a-922632db2924,2026-02-03 06:06:00,2026-02-03,081f1278-fb94-44c6-a64f-edfe6a0596ca,Vision Inspection 01,0a4d2182-cf07-4dc3-b494-5cc84d4e97d9,Line A,fa41b074-82b3-4146-b745-ba968159798b,4a28e93f-183c-4b5f-9e90-703d80626680,868,17.89,108.5,2,28800,0.4325,1.0,0.4325,1.0,2.0,2.0,0.0,0.0,92.19,,0,0,106.48,No,No Risk
fe3812a3-5c86-4020-8453-8b2a946cc242,2026-02-03 15:29:00,2026-02-03,081f1278-fb94-44c6-a64f-edfe6a0596ca,Vision Inspection 01,0a4d2182-cf07-4dc3-b494-5cc84d4e97d9,Line A,fa41b074-82b3-4146-b745-ba968159798b,15b09269-ea40-4cc7-aeca-d0c85b53e3da,920,15.6,115.0,5,28800,0.4424,1.0,0.4424,1.0,5.0,5.0,0.0,0.0,92.19,,0,0,97.1,No,No Risk
e07225f8-c5e7-41c6-9b82-b71b1a69deb8,2026-02-03 22:43:00,2026-02-03,081f1278-fb94-44c6-a64f-edfe6a0596ca,Vision Inspection 01,0a4d2182-cf07-4dc3-b494-5cc84d4e97d9,Line A,fa41b074-82b3-4146-b745-ba968159798b,b1b71e03-f8a2-456d-b6a6-389839d0bdd4,1050,25.36,131.25,2,28800,0.4686,1.0,0.7029,0.6667,3.0,2.0,1.0,0.3333,92.19,,0,0,89.86,No,No Risk
8cf8a539-14ce-4fa5-9ce9-b8371c2608a2,2026-02-04 06:07:00,2026-02-04,081f1278-fb94-44c6-a64f-edfe6a0596ca,Vision Inspection 01,0a4d2182-cf07-4dc3-b494-5cc84d4e97d9,Line A,fa41b074-82b3-4146-b745-ba968159798b,4a28e93f-183c-4b5f-9e90-703d80626680,877,40.47,116.37,5,27131,0.942,0.942,1.0,1.0,5.0,5.0,0.0,0.0,92.19,,0,0,82.46,No,No Risk
3fac0e85-5de0-40ac-bf6a-cd239b109796,2026-02-04 17:55:00,2026-02-04,081f1278-fb94-44c6-a64f-edfe6a0596ca,Vision Inspection 01,0a4d2182-cf07-4dc3-b494-5cc84d4e97d9,Line A,fa41b074-82b3-4146-b745-ba968159798b,15b09269-ea40-4cc7-aeca-d0c85b53e3da,923,48.3,119.88,5,27717,0.9624,0.9624,1.0,1.0,5.0,5.0,0.0,0.0,92.19,,0,0,70.66,No,No Risk
d8974731-24ad-485d-a187-b8b26f83f464,2026-02-05 04:09:00,2026-02-05,081f1278-fb94-44c6-a64f-edfe6a0596ca,Vision Inspection 01,0a4d2182-cf07-4dc3-b494-5cc84d4e97d9,Line A,fa41b074-82b3-4146-b745-ba968159798b,b1b71e03-f8a2-456d-b6a6-389839d0bdd4,1050,45.53,136.88,4,27616,0.9589,0.9589,1.0,1.0,4.0,4.0,0.0,0.0,125.46,,1,0,60.43,No,No Risk
36420dc2-b749-4553-880d-e3a59e042daf,2026-02-05 08:30:00,2026-02-05,081f1278-fb94-44c6-a64f-edfe6a0596ca,Vision Inspection 01,0a4d2182-cf07-4dc3-b494-5cc84d4e97d9,Line A,fa41b074-82b3-4146-b745-ba968159798b,4a28e93f-183c-4b5f-9e90-703d80626680,843,19.33,105.38,6,28800,0.4326,1.0,0.4326,1.0,6.0,6.0,0.0,0.0,125.46,,1,0,56.08,No,No Risk
b952084c-38d9-4fda-97f3-508c5acf7316,2026-02-05 17:53:00,2026-02-05,081f1278-fb94-44c6-a64f-edfe6a0596ca,Vision Inspection 01,0a4d2182-cf07-4dc3-b494-5cc84d4e97d9,Line A,fa41b074-82b3-4146-b745-ba968159798b,15b09269-ea40-4cc7-aeca-d0c85b53e3da,1050,33.01,131.25,5,28800,0.8333,1.0,1.0,0.8333,6.0,5.0,1.0,0.1667,125.46,,1,0,46.7,No,No Risk
e4392be3-89d3-40a8-bf4b-23fd098eeec2,2026-02-06 03:59:00,2026-02-06,081f1278-fb94-44c6-a64f-edfe6a0596ca,Vision Inspection 01,0a4d2182-cf07-4dc3-b494-5cc84d4e97d9,Line A,fa41b074-82b3-4146-b745-ba968159798b,b1b71e03-f8a2-456d-b6a6-389839d0bdd4,975,27.03,121.88,4,28800,0.7208,1.0,0.7208,1.0,3.0,2.0,1.0,0.3333,125.46,,1,0,36.6,No,No Risk
9ecd307a-68cf-4f6b-995b-a498a5fb6792,2026-02-06 12:23:00,2026-02-06,081f1278-fb94-44c6-a64f-edfe6a0596ca,Vision Inspection 01,0a4d2182-cf07-4dc3-b494-5cc84d4e97d9,Line A,fa41b074-82b3-4146-b745-ba968159798b,4a28e93f-183c-4b5f-9e90-703d80626680,1046,23.11,145.76,5,25834,0.6271,0.897,0.8389,0.8333,6.0,5.0,1.0,0.1667,157.15,0.15,1,1,28.2,No,No Risk
47f4391d-6b99-4e25-82a6-b34e020e1916,2026-02-06 19:35:00,2026-02-06,081f1278-fb94-44c6-a64f-edfe6a0596ca,Vision Inspection 01,0a4d2182-cf07-4dc3-b494-5cc84d4e97d9,Line A,fa41b074-82b3-4146-b745-ba968159798b,15b09269-ea40-4cc7-aeca-d0c85b53e3da,983,17.16,133.56,4,26496,0.4772,0.92,0.5187,1.0,4.0,4.0,0.0,0.0,157.15,0.45,1,1,21.0,Yes,High Risk
0daba911-a22d-47df-8d8c-00148108ad9f,2026-02-07 04:41:00,2026-02-07,081f1278-fb94-44c6-a64f-edfe6a0596ca,Vision Inspection 01,0a4d2182-cf07-4dc3-b494-5cc84d4e97d9,Line A,fa41b074-82b3-4146-b745-ba968159798b,b1b71e03-f8a2-456d-b6a6-389839d0bdd4,1029,9.63,136.5,2,27139,0.2068,0.9423,0.3291,0.6667,4.0,3.0,1.0,0.25,157.15,0.82,1,1,11.9,Yes,High Risk
37cdd956-9360-4f10-a911-a3c3f51c5666,2026-02-07 12:50:00,2026-02-07,081f1278-fb94-44c6-a64f-edfe6a0596ca,Vision Inspection 01,0a4d2182-cf07-4dc3-b494-5cc84d4e97d9,Line A,fa41b074-82b3-4146-b745-ba968159798b,4a28e93f-183c-4b5f-9e90-703d80626680,1050,43.62,154.39,6,24483,0.8501,0.8501,1.0,1.0,6.0,6.0,0.0,0.0,157.15,1.16,1,1,3.75,Yes,High Risk
4e4ca097-2702-46c1-865b-146b5694d59d,2026-02-07 19:46:00,2026-02-07,081f1278-fb94-44c6-a64f-edfe6a0596ca,Vision Inspection 01,0a4d2182-cf07-4dc3-b494-5cc84d4e97d9,Line A,fa41b074-82b3-4146-b745-ba968159798b,15b09269-ea40-4cc7-aeca-d0c85b53e3da,1050,32.44,152.14,6,24845,0.8627,0.8627,1.0,1.0,6.0,6.0,0.0,0.0,225.82,1.45,2,1,68.24,No,No Risk
36a0bab0-d38d-41c2-9f53-803eef907f0a,2026-02-08 05:09:00,2026-02-08,081f1278-fb94-44c6-a64f-edfe6a0596ca,Vision Inspection 01,0a4d2182-cf07-4dc3-b494-5cc84d4e97d9,Line A,fa41b074-82b3-4146-b745-ba968159798b,b1b71e03-f8a2-456d-b6a6-389839d0bdd4,992,22.76,141.56,3,25228,0.5229,0.876,0.7959,0.75,6.0,6.0,0.0,0.0,225.82,1.84,2,1,58.85,No,No Risk
9095daaa-aefe-438c-ab55-103c359cb107,2026-02-08 10:18:00,2026-02-08,081f1278-fb94-44c6-a64f-edfe6a0596ca,Vision Inspection 01,0a4d2182-cf07-4dc3-b494-5cc84d4e97d9,Line A,fa41b074-82b3-4146-b745-ba968159798b,4a28e93f-183c-4b5f-9e90-703d80626680,1050,25.93,131.25,4,28800,0.9439,1.0,0.9439,1.0,4.0,4.0,0.0,0.0,225.82,2.06,2,1,53.7,No,No Risk
e85eacf5-c952-45c2-b220-361355eee908,2026-02-08 19:49:00,2026-02-08,081f1278-fb94-44c6-a64f-edfe6a0596ca,Vision Inspection 01,0a4d2182-cf07-4dc3-b494-5cc84d4e97d9,Line A,fa41b074-82b3-4146-b745-ba968159798b,15b09269-ea40-4cc7-aeca-d0c85b53e3da,986,12.57,123.25,3,28800,0.321,1.0,0.428,0.75,4.0,3.0,1.0,0.25,225.82,2.46,2,1,44.19,No,No Risk
09545e31-9505-41dd-9ffb-3824cf13b0cb,2026-02-08 23:09:00,2026-02-08,081f1278-fb94-44c6-a64f-edfe6a0596ca,Vision Inspection 01,0a4d2182-cf07-4dc3-b494-5cc84d4e97d9,Line A,fa41b074-82b3-4146-b745-ba968159798b,b1b71e03-f8a2-456d-b6a6-389839d0bdd4,899,33.56,112.38,6,28800,0.9589,1.0,0.9589,1.0,6.0,6.0,0.0,0.0,225.82,2.59,2,1,40.85,No,No Risk
9a6b760b-297f-482b-b181-ac799e4bf6d6,2026-02-09 06:01:00,2026-02-09,081f1278-fb94-44c6-a64f-edfe6a0596ca,Vision Inspection 01,0a4d2182-cf07-4dc3-b494-5cc84d4e97d9,Line A,fa41b074-82b3-4146-b745-ba968159798b,4a28e93f-183c-4b5f-9e90-703d80626680,986,15.57,123.25,2,28800,0.4129,1.0,0.4129,1.0,2.0,2.0,0.0,0.0,225.82,2.88,2,1,33.99,No,No Risk
